1.0.0.0,1.0.0.1,1.0.0.0,true,,,,,
1.0.0.2,1.0.0.2,1.0.0.0,true,,,true,,
1.0.0.3,1.0.0.45,1.0.0.0,true,,,,,
1.0.0.46,1.0.0.46,1.0.0.0,true,true,,,,
1.0.0.47,1.0.0.255,1.0.0.0,true,,,,,
1.0.103.183,1.0.103.183,1.0.0.0,,,,true,,
1.0.103.211,1.0.103.211,1.0.0.0,,,,true,,
1.0.105.78,1.0.105.78,1.0.0.0,,,,true,,
1.0.106.166,1.0.106.166,1.0.0.0,,,,true,,
1.0.107.83,1.0.107.83,1.0.0.0,,,,true,,
1.0.109.151,1.0.109.151,1.0.0.0,,,,true,,
1.0.110.0,1.0.110.255,1.0.0.0,,,,true,,VPN Gate
1.0.111.173,1.0.111.173,1.0.0.0,,,,true,,
1.0.111.39,1.0.111.39,1.0.0.0,,,,true,,
1.0.111.47,1.0.111.47,1.0.0.0,,,,true,,
1.0.112.8,1.0.112.8,1.0.0.0,,,,true,,
1.0.115.253,1.0.115.253,1.0.0.0,,,,true,,
1.0.116.80,1.0.116.80,1.0.0.0,,,,true,,
1.0.117.215,1.0.117.215,1.0.0.0,,,,true,,
1.0.119.168,1.0.119.168,1.0.0.0,,,,true,,
1.0.120.33,1.0.120.33,1.0.0.0,,,,true,,
1.0.121.21,1.0.121.21,1.0.0.0,,,,true,,
1.0.121.46,1.0.121.46,1.0.0.0,,,,true,,
1.0.123.180,1.0.123.180,1.0.0.0,,,,true,,
1.0.124.96,1.0.124.96,1.0.0.0,,,,true,,
1.0.126.199,1.0.126.199,1.0.0.0,,,,true,,
1.0.126.205,1.0.126.205,1.0.0.0,,,,true,,
1.0.127.46,1.0.127.46,1.0.0.0,,,,true,,
1.0.127.85,1.0.127.85,1.0.0.0,,,,true,,
1.0.130.58,1.0.130.58,1.0.0.0,,,,true,,
1.0.131.2,1.0.131.2,1.0.0.0,,,,true,,
1.0.131.25,1.0.131.25,1.0.0.0,,,,true,,
1.0.132.163,1.0.132.163,1.0.0.0,,,,true,,
1.0.133.36,1.0.133.36,1.0.0.0,,,,true,,
1.0.136.103,1.0.136.103,1.0.0.0,,,,true,,
1.0.136.15,1.0.136.15,1.0.0.0,,,,true,,
1.0.136.188,1.0.136.188,1.0.0.0,,,,true,,
1.0.136.19,1.0.136.19,1.0.0.0,,,,true,,
1.0.136.208,1.0.136.208,1.0.0.0,,,,true,,
1.0.136.249,1.0.136.249,1.0.0.0,,,,true,,
1.0.136.29,1.0.136.29,1.0.0.0,,,,true,,
1.0.136.34,1.0.136.35,1.0.0.0,,,,true,,
1.0.136.86,1.0.136.86,1.0.0.0,,,,true,,
1.0.137.151,1.0.137.151,1.0.0.0,,,,true,,
1.0.138.169,1.0.138.169,1.0.0.0,,,,true,,
1.0.138.180,1.0.138.180,1.0.0.0,,,,true,,
1.0.138.200,1.0.138.200,1.0.0.0,,,,true,,
1.0.138.240,1.0.138.240,1.0.0.0,,,,true,,
1.0.138.31,1.0.138.31,1.0.0.0,,,,true,,
1.0.138.97,1.0.138.97,1.0.0.0,,,,true,,
1.0.139.114,1.0.139.114,1.0.0.0,,,,true,,
1.0.141.181,1.0.141.181,1.0.0.0,,,,true,,
